dataset,method,normal,lags,nof_filters,epoch,mse(train),mse(test),calculation_time
data2,STGCN,X,4,16,150,0.18611648678779602,0.165822833776474,1221.4620883464813
data2,STGCN,X,4,32,150,0.18556542694568634,0.17128300666809082,1237.2145059108734
data2,STGCN,X,4,64,150,0.20039254426956177,0.18659061193466187,1497.5340259075165
data2,STGCN,X,8,16,150,0.19898462295532227,0.17298516631126404,1041.2964448928833
data2,STGCN,X,8,32,150,0.20176154375076294,0.1755571961402893,948.4767401218414
data2,STGCN,X,8,64,150,0.19922728836536407,0.17621126770973206,986.4900527000427
data2,STGCN,X,12,16,150,0.20449908077716827,0.18024809658527374,949.2346451282501
data2,STGCN,X,12,32,150,0.20006529986858368,0.1810494214296341,965.1454901695251
data2,STGCN,X,12,64,150,0.19306142628192902,0.17387759685516357,1007.8415505886078
data2,STGCN,X,24,16,150,0.21927589178085327,0.1932695060968399,902.8838331699371
data2,STGCN,X,24,32,150,0.2415349781513214,0.19997994601726532,929.0038549900055
data2,STGCN,X,24,64,150,0.2666003108024597,0.2175053060054779,985.1285662651062
data2,STGCN,X,4,16,150,0.18356789648532867,0.1692732721567154,901.8490314483643
data2,STGCN,X,4,32,150,0.18485945463180542,0.16881456971168518,916.0028719902039
data2,STGCN,X,4,64,150,0.17815233767032623,0.161405548453331,958.5247430801392
data2,STGCN,X,8,16,150,0.2039715200662613,0.18180865049362183,929.8637104034424
data2,STGCN,X,8,32,150,0.20389817655086517,0.17847658693790436,937.0952255725861
data2,STGCN,X,8,64,150,0.19227877259254456,0.16963090002536774,983.3293309211731
data2,STGCN,X,12,16,150,0.19517764449119568,0.17323149740695953,947.8499727249146
data2,STGCN,X,12,32,150,0.1911614090204239,0.17625470459461212,968.552460193634
data2,STGCN,X,12,64,150,0.1918569952249527,0.17624840140342712,1011.9055099487305
data2,STGCN,X,24,16,150,0.22682534158229828,0.19788536429405212,904.7533078193665
data2,STGCN,X,24,32,150,0.2638126611709595,0.2117849886417389,930.0978782176971
data2,STGCN,X,24,64,150,0.21986110508441925,0.2101224660873413,977.2669131755829
data2,STGCN,X,4,16,150,0.1794140636920929,0.163593128323555,899.6886696815491
data2,STGCN,X,4,32,150,0.1816737949848175,0.16646312177181244,913.3751358985901
data2,STGCN,X,4,64,150,0.179981991648674,0.16346526145935059,942.2120988368988
data2,STGCN,X,8,16,150,0.19619309902191162,0.17139306664466858,925.9673550128937
data2,STGCN,X,8,32,150,0.19611169397830963,0.1700475513935089,941.4964616298676
data2,STGCN,X,8,64,150,0.19514866173267365,0.1717856526374817,986.6451847553253
data2,STGCN,X,12,16,150,0.190932035446167,0.1700272113084793,950.80357837677
data2,STGCN,X,12,32,150,0.1896212249994278,0.16944970190525055,963.2372159957886
data2,STGCN,X,12,64,150,0.1989566683769226,0.17445868253707886,1005.3240585327148
data2,STGCN,X,24,16,150,0.2652708888053894,0.2131267488002777,906.4639902114868
data2,STGCN,X,24,32,150,0.2444944977760315,0.2057560533285141,928.8458516597748
data2,STGCN,X,24,64,150,0.23542217910289764,0.20191597938537598,979.2783966064453
data2,STGCN,X,4,16,150,0.1789751499891281,0.16235031187534332,903.7866349220276
data2,STGCN,X,4,32,150,0.18076243996620178,0.16442157328128815,916.5621256828308
data2,STGCN,X,4,64,150,0.18338732421398163,0.1665852665901184,957.1594276428223
data2,STGCN,X,8,16,150,0.19261442124843597,0.17152726650238037,929.828696012497
data2,STGCN,X,8,32,150,0.19591712951660156,0.17330455780029297,947.9072575569153
data2,STGCN,X,8,64,150,0.19353540241718292,0.17230390012264252,993.7441518306732
data2,STGCN,X,12,16,150,0.1954914927482605,0.17411106824874878,947.27157330513
data2,STGCN,X,12,32,150,0.19743327796459198,0.17906582355499268,956.7414839267731
